Year,Indicator,Value
1995,Basic Water - Rural,
1995,Basic Water - Urban,
1995,Electricity - Rural,
1995,Electricity - Urban,
1995,Safely Managed Water - Rural,
1995,Safely Managed Water - Urban,
1996,Safely Managed Water - Urban,
1996,Safely Managed Water - Rural,
1996,Electricity - Urban,
1996,Basic Water - Urban,
1996,Basic Water - Rural,
1996,Electricity - Rural,
1997,Basic Water - Rural,
1997,Basic Water - Urban,
1997,Electricity - Rural,
1997,Electricity - Urban,
1997,Safely Managed Water - Rural,
1997,Safely Managed Water - Urban,
1998,Safely Managed Water - Urban,
1998,Electricity - Urban,93.14
1998,Safely Managed Water - Rural,
1998,Basic Water - Urban,
1998,Basic Water - Rural,
1998,Electricity - Rural,59.49763572
1999,Basic Water - Rural,
1999,Basic Water - Urban,
1999,Electricity - Rural,58.95963193
1999,Electricity - Urban,93.44615936
1999,Safely Managed Water - Rural,
1999,Safely Managed Water - Urban,
2000,Safely Managed Water - Urban,44.96990024
2000,Safely Managed Water - Rural,41.40269365
2000,Electricity - Urban,93.6
2000,Electricity - Rural,62.6
2000,Basic Water - Rural,82.81817922
2000,Basic Water - Urban,96.54126499
2001,Basic Water - Rural,83.11678457
2001,Basic Water - Urban,96.58661502
2001,Electricity - Rural,63.9
2001,Electricity - Urban,93.9
2001,Safely Managed Water - Rural,41.55197326
2001,Safely Managed Water - Urban,44.99102475
2002,Safely Managed Water - Rural,41.70125287
2002,Safely Managed Water - Urban,45.01214925
2002,Electricity - Urban,94.1
2002,Basic Water - Rural,83.41198447
2002,Basic Water - Urban,96.63196506
2002,Electricity - Rural,65.3
2003,Basic Water - Rural,83.70715999
2003,Basic Water - Urban,96.67731509
2003,Electricity - Rural,66.7
2003,Electricity - Urban,94.3
2003,Safely Managed Water - Rural,41.85053249
2003,Safely Managed Water - Urban,45.03327376
2004,Basic Water - Rural,84.00231112
2004,Basic Water - Urban,96.72266513
2004,Electricity - Rural,68
2004,Electricity - Urban,94.6
2004,Safely Managed Water - Rural,41.9998121
2004,Safely Managed Water - Urban,45.05439827
2005,Safely Managed Water - Rural,42.14909171
2005,Electricity - Urban,94.9
2005,Safely Managed Water - Urban,45.07552277
2005,Basic Water - Urban,95.15137054
2005,Basic Water - Rural,84.29743787
2005,Electricity - Rural,69.4
2006,Basic Water - Rural,84.59254024
2006,Basic Water - Urban,94.97670704
2006,Electricity - Rural,70.8
2006,Electricity - Urban,95.2
2006,Safely Managed Water - Rural,42.29837132
2006,Safely Managed Water - Urban,45.09664728
2007,Safely Managed Water - Urban,45.11777179
2007,Safely Managed Water - Rural,42.44765094
2007,Electricity - Urban,95.5
2007,Electricity - Rural,72.2
2007,Basic Water - Rural,60.81327220313035
2007,Basic Water - Urban,87.87493886669046
2008,Basic Water - Rural,60.96079901
